contestId,index,name,tags,rating,solved
1991,G,Grid Reset,"['constructive algorithms', 'greedy', 'implementation']",2700.0,347
1991,F,Triangle Formation,"['brute force', 'greedy', 'implementation', 'math', 'sortings']",2200.0,1108
1991,E,Coloring Game,"['constructive algorithms', 'dfs and similar', 'games', 'graphs', 'greedy', 'interactive']",1900.0,1319
1991,D,Prime XOR Coloring,"['bitmasks', 'constructive algorithms', 'graphs', 'greedy', 'math', 'number theory']",1900.0,1281
1991,C,Absolute Zero,"['constructive algorithms', 'greedy', 'math']",1300.0,1379
1991,B,AND Reconstruction,"['bitmasks', 'constructive algorithms', 'greedy']",1100.0,1380
1991,A,Maximize the Last Element,"['greedy', 'implementation']",800.0,1390
1990,F,Polygonal Segments,"['brute force', 'data structures', 'divide and conquer', 'dp', 'greedy', 'two pointers']",2800.0,145
1990,E2,Catch the Mole(Hard Version),"['binary search', 'data structures', 'dfs and similar', 'divide and conquer', 'interactive', 'trees']",2600.0,417
1990,E1,Catch the Mole(Easy Version),"['binary search', 'data structures', 'dfs and similar', 'interactive', 'trees']",2500.0,429
1990,D,Grid Puzzle,"['bitmasks', 'brute force', 'dp', 'greedy', 'implementation']",1800.0,722
1990,C,Mad MAD Sum,"['brute force', 'greedy', 'math']",1500.0,745
1990,B,Array Craft,"['constructive algorithms', 'greedy']",1200.0,749
1990,A,Submission Bait,"['brute force', 'games', 'greedy', 'sortings']",900.0,783
1989,F,Simultaneous Coloring,"['dfs and similar', 'divide and conquer', 'graphs']",3000.0,167
1989,E,Distance to Different,"['combinatorics', 'dp', 'math']",2300.0,675
1989,D,Smithing Skill,"['brute force', 'data structures', 'dp', 'greedy', 'math', 'sortings', 'two pointers']",1900.0,766
1989,C,Two Movies,"['greedy', 'math']",1400.0,773
1989,B,Substring and Subsequence,"['brute force', 'greedy', 'strings']",1200.0,760
1989,A,Catch the Coin,['implementation'],800.0,776
1988,F,Heartbeat,"['combinatorics', 'dp', 'fft', 'math']",3000.0,98
1988,E,Range Minimum Sum,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'implementation']",2300.0,558
1988,D,The Omnipotent Monster Killer,"['brute force', 'dfs and similar', 'dp', 'trees']",2000.0,799
1988,C,Increasing Sequence with Fixed OR,"['bitmasks', 'constructive algorithms', 'greedy']",1300.0,812
1988,B,Make Majority,"['greedy', 'implementation']",900.0,790
1988,A,Split the Multiset,"['brute force', 'greedy', 'implementation', 'math']",900.0,798
1987,H,Fumo Temple,['interactive'],3500.0,27
1987,G2,Spinning Round (Hard Version),"['divide and conquer', 'dp', 'trees']",3500.0,82
1987,G1,Spinning Round (Easy Version),"['divide and conquer', 'dp', 'trees']",2900.0,168
1987,F2,Interesting Problem (Hard Version),['dp'],2600.0,576
1987,F1,Interesting Problem (Easy Version),['dp'],2500.0,648
1987,E,Wonderful Tree!,"['brute force', 'data structures', 'dfs and similar', 'dsu', 'greedy', 'trees']",2000.0,1168
1987,D,World is Mine,"['dp', 'games']",1800.0,1210
1987,C,Basil's Garden,"['dp', 'greedy']",1200.0,1236
1987,B,K-Sort,['greedy'],1000.0,1266
1987,A,Upload More RAM,"['greedy', 'math']",800.0,1278
1986,G2,Permutation Problem (Hard Version),"['brute force', 'data structures', 'hashing', 'math', 'number theory']",2500.0,359
1986,G1,Permutation Problem (Simple Version),"['binary search', 'brute force', 'combinatorics', 'data structures', 'math', 'number theory']",2200.0,415
1986,F,Non-academic Problem,"['dfs and similar', 'graphs', 'trees']",1900.0,420
1986,E,Beautiful Array,"['greedy', 'math', 'number theory', 'sortings']",1700.0,415
1986,D,Mathematical Problem,"['brute force', 'dp', 'greedy', 'implementation', 'math', 'two pointers']",1400.0,397
1986,C,Update Queries,"['data structures', 'greedy', 'sortings']",1100.0,411
1986,B,Matrix Stabilization,"['brute force', 'data structures', 'greedy', 'sortings']",1000.0,430
1986,A,X Axis,"['brute force', 'geometry', 'math', 'sortings']",800.0,451
1985,H2,Maximize the Largest Component (Hard Version),"['data structures', 'dfs and similar', 'dp', 'dsu', 'implementation']",2200.0,375
1985,H1,Maximize the Largest Component (Easy Version),"['brute force', 'data structures', 'dfs and similar', 'dsu', 'graphs', 'implementation']",1700.0,406
1985,G,D-Function,"['combinatorics', 'math', 'number theory']",1600.0,429
1985,F,Final Boss,"['binary search', 'data structures']",1500.0,399
1985,E,Secret Box,"['brute force', 'combinatorics', 'math']",1200.0,411
1985,D,Manhattan Circle,"['implementation', 'math']",900.0,424
1985,C,Good Prefixes,['greedy'],1000.0,434
1985,B,Maximum Multiple Sum,"['brute force', 'math', 'number theory']",800.0,449
1985,A,Creating Words,"['implementation', 'strings']",800.0,459
1984,H,Tower Capturing,"['combinatorics', 'dp', 'geometry']",3300.0,66
1984,G,Magic Trick II,"['constructive algorithms', 'implementation', 'sortings']",3200.0,104
1984,F,Reconstruction,"['brute force', 'dp', 'math']",2500.0,590
1984,E,Shuffle,"['dp', 'greedy', 'trees']",2400.0,805
1984,D,''a'' String Problem,"['brute force', 'hashing', 'implementation', 'math', 'string suffix structures', 'strings']",2000.0,1136
